"","Yahoo_US_AAZ_pred$mean","Yahoo_US_MMZ_pred$mean","Yahoo_US_tbats_pred$mean","Yahoo_US_arima_pred$mean","Yahoo_W_AAZ_pred$mean","Yahoo_W_MMZ_pred$mean","Yahoo_W_tbats_pred$mean","Yahoo_W_arima_pred$mean"
"19",54300333.4859268,56064724.1567722,51988087.1109291,63416338.3243243,163491417.9105,183700338.442115,167873427.247563,196794064.378378
"20",54700062.3665318,56458932.307883,52186575.7049806,64395184.972973,164646001.192394,185514154.454476,168999982.762054,199968599.135135
"21",55091289.3039799,56837044.3799889,52373161.2246062,65374031.6216216,165777492.626508,187266785.751185,170082295.177144,203143133.891892
"22",55474195.1284311,57199600.1007173,52548522.9738878,66352878.2702703,166886354.053439,188959596.691644,171121893.496513,206317668.648649
"23",55848956.8239192,57547132.1987073,52713305.7497624,67331724.9189189,167973038.076903,190593982.664966,172120272.664303,209492203.405405
"24",56215747.6101561,57880165.2782511,52868121.0501282,68310571.5675676,169037988.248465,192171363.101864,173078892.436287,212666738.162162
"25",56574737.022596,58199214.849279,53013548.3164876,69289418.2162162,170081639.248595,193693175.056871,173999176.503409,215841272.918919
"26",56926090.9907971,58504786.4998892,53150136.1966471,70268264.8648649,171104417.064079,195160867.334983,174882511.841788,219015807.675676
"27",57269971.9151165,58797375.1992658,53278403.815211,71247111.5135135,172106739.161904,196575895.135965,175730248.265356,222190342.432432
"28",57606538.7417732,59077464.7194852,53398842.0415424,72225958.1621622,173089014.65965,197939715.189168,176543698.159274,225364877.189189
"29",57935947.0363159,59345527.1653773,53511914.7465858,73204804.8108108,174051644.492481,199253781.351573,177324136.374134,228539411.945946
"30",58258349.0555268,59602022.6022734,53618060.0414321,74183651.4594595,174995021.576795,200519540.641897,178072800.26262,231713946.702703
"31",58573893.8177968,59847398.7721293,53717691.4918209,75162498.1081081,175919530.970599,201738429.68396,178790889.84191,234888481.45946
"32",58882727.1720039,60082090.8891572,53811199.3039028,76141344.7567568,176825550.030679,202911871.533065,179479568.066585,238063016.216216
"33",59184991.8649263,60306521.5067221,53898951.4775734,77120191.4054054,177713448.566628,204041272.859793,180139961.198147,241237550.972973
"34",59480827.6072218,60521100.4478657,53981294.9245358,78099038.0540541,178583588.991787,205128021.466447,180773159.258525,244412085.72973
"35",59770371.1380039,60726224.792396,54058556.5489808,79077884.7027027,179436326.471172,206173484.112265,181380216.556117,247586620.486487
"36",60053756.2880445,60922278.9140373,54131044.2893945,80056731.3513514,180272009.066446,207179004.624474,181962152.273974,250761155.243243
"37",60331114.041632,61109634.5616553,54199048.1205379,81035578,181090977.877979,208145902.273291,182519951.110738,253935690
"38",60602572.5971142,61288650.9790742,54262841.0150901,82014424.6486486,181893567.184085,209075470.390013,183054563.965846,257110224.756757
"39",60868257.4261529,61459675.0584666,54322679.8648271,82993271.2972973,182680104.577455,209968975.208383,183566908.66135,260284759.513514
"40",61128291.3317189,61623041.5227396,54378806.3615232,83972117.9459459,183450911.098876,210827654.910536,184057870.693475,263459294.27027
"41",61382794.5048529,61779073.1327496,54431447.8380222,84950964.5945946,184206301.36827,211652718.859821,184528304.007736,266633829.027027
"42",61631884.5802194,61928080.9155643,54480818.0701433,85929811.2432432,184946583.713108,212445347.003924,184979031.792084,269808363.783784
"43",61875676.6904788,62070364.4103486,54527118.0402555,86908657.8918919,185672060.294265,213206689.432667,185410847.283136,272982898.540541
"44",62114283.5195037,62206211.9287803,54570536.6634961,87887504.5405405,186383027.229351,213937866.075921,185824514.581081,276157433.297297
"45",62347815.3544622,62335900.8272117,54611251.4777128,88866351.1891892,187079774.713576,214639966.527995,186220769.469361,279331968.054054
"46",62576380.1367947,62459697.7880765,54649429.2982928,89845197.8378378,187762587.1382,215314049.985828,186600320.235638,282506502.810811
"47",62800083.5121052,62577859.1083021,54685226.8390986,90824044.4864865,188431743.206614,215961145.289179,186963848.491022,285681037.567568
"48",63019028.8789925,62690630.9927291,54718791.3007739,91802891.1351351,189087516.048096,216582251.051893,187312009.984835,288855572.324324
"49",63233317.4368424,62798249.8507617,54750260.9277001,92781737.7837838,189730173.329296,217178335.874112,187645435.412591,292030107.081081
"50",63443048.232603,62900942.5946724,54779765.5349033,93760584.4324324,190359977.363489,217750338.626096,187964731.215132,295204641.837838
"51",63648318.2065658,62998926.9381725,54807427.0062007,94739431.0810811,190977185.217642,218299168.795028,188270480.367148,298379176.594595
"52",63849222.2371728,63092411.6940258,54833359.7648739,95718277.7297297,191582048.817344,218825706.886892,188563243.153569,301553711.351351
"53",64045853.18487,63181597.0696393,54857671.218131,96697124.3783784,192174815.049632,219330804.876147,188843557.932525,304728246.108108
"54",64238301.9350296,63266674.9597009,54880462.1766007,97675971.027027,192755725.863761,219815286.696534,189111941.883797,307902780.864865
"55",64426657.4399576,63347829.2350645,54901827.2500689,98654817.6756757,193325018.369965,220279948.76694,189368891.741837,311077315.621622
"56",64611006.7600091,63425236.0271935,54921855.2206358,99633664.3243243,193882924.936235,220725560.546758,189614884.512618,314251850.378379
"57",64791435.1038287,63499064.0075802,54940629.3944365,100612510.972973,194429673.283167,221152865.115688,189850378.173719,317426385.135135
"58",64968025.8677347,63569474.6616492,54958227.9330269,101591357.621622,194965486.576908,221562579.773405,190075812.357186,320600919.891892
"59",65140860.6742667,63636622.5567392,54974724.1655012,102570204.27027,195490583.520246,221955396.654929,190291609.014806,323775454.648649
"60",65310019.4099116,63700655.6038295,54990186.8823589,103549050.918919,196005178.441879,222331983.357948,190498173.065567,326949989.405406
"61",65475580.2620293,63761715.3127478,55004680.6121079,104527897.567568,196509481.3839,222692983.578714,190695893.025151,330124524.162162
"62",65637619.7549907,63819937.0406534,55018265.8815375,105506744.216216,197003698.187523,223039017.753473,190885141.61739,333299058.918919
