"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Sep 2016",86908657.8918919,65053621.7857601,108763693.998024,53484264.5233442,120333051.26044
"Oct 2016",87887504.5405405,65779800.6634616,109995208.417619,54076689.1625906,121698319.91849
"Nov 2016",88866351.1891892,66508834.8192321,111223867.559146,54673480.5728133,123059221.805565
"Dec 2016",89845197.8378378,67240629.5882741,112449766.087402,55274493.976698,124415901.698978
"Jan 2017",90824044.4864865,67975095.4238825,113672993.54909,55879592.4243775,125768496.548595
"Feb 2017",91802891.1351351,68712147.5182275,114893634.752043,56488646.2134688,127117136.056801
"Mar 2017",92781737.7837838,69451705.4585159,116111770.109052,57101532.363217,128461943.204351
"Apr 2017",93760584.4324324,70193692.9145777,117327475.950287,57718134.1367013,129803034.728164
"May 2017",94739431.0810811,70938037.3544394,118540824.807723,58338340.6058405,131140521.556322
"Jun 2017",95718277.7297297,71684669.7848766,119751885.674583,58962046.2546035,132474509.204856
"Jul 2017",96697124.3783784,72433524.5143188,120960724.242438,59589150.6164029,133805098.140354
"Aug 2017",97675971.027027,73184538.935794,122167403.11826,60219557.9421377,135132384.111916
"Sep 2017",98654817.6756757,73937653.3278836,123371982.023468,60853176.89578,136456458.455571
"Oct 2017",99633664.3243243,74692810.6718919,124574517.976757,61489920.2747599,137777408.373889
"Nov 2017",100612510.972973,75449956.4836462,125775065.4623,62129704.752726,139095317.19322
"Dec 2017",101591357.621622,76209038.6585201,126973676.584723,62772450.6425285,140410264.600715
"Jan 2018",102570204.27027,76970007.3284319,128170401.212109,63418081.6775181,141722326.863022
"Feb 2018",103549050.918919,77732814.7297066,129365287.108131,64066524.8094576,143031577.02838
"Mar 2018",104527897.567568,78497415.0808082,130558380.054327,64717710.0215297,144338085.113605
"Apr 2018",105506744.216216,79263764.4690577,131749723.963375,65371570.1550874,145641918.277345
"May 2018",106485590.864865,80031820.7455405,132939360.984189,66028040.7489284,146943140.980801
"Jun 2018",107464437.513513,80801543.427493,134127331.599534,66687059.8900086,148241815.137018
"Jul 2018",108443284.162162,81572893.6075269,135313674.716797,67348568.0746124,149538000.249712
"Aug 2018",109422130.810811,82345833.8691144,136498427.752507,68012508.0790987,150831753.542523
"Sep 2018",110400977.459459,83120328.2078158,137681626.711103,68678824.8394288,152123130.07949
"Oct 2018",111379824.108108,83896341.9577784,138863306.258438,69347465.3387559,153412182.87746
"Nov 2018",112358670.756757,84673841.7230824,140043499.790431,70018378.5024283,154698963.011085
"Dec 2018",113337517.405405,85452795.313549,141222239.497262,70691515.0998159,155983519.710995
"Jan 2019",114316364.054054,86233171.6846607,142399556.423447,71366827.6524262,157265900.455682
"Feb 2019",115295210.702703,87014940.8812771,143575480.524128,72044270.3478253,158546151.05758
"Mar 2019",116274057.351351,87798073.9848559,144750040.717847,72723798.9589197,159824315.743783
"Apr 2019",117252904,88582543.0639181,145923264.936082,73405370.7681981,161100437.231802
"May 2019",118231750.648649,89368321.1275142,147095180.169783,74088944.4965657,162374556.800732
"Jun 2019",119210597.297297,90155382.0814744,148265812.51312,74774480.2364337,163646714.358161
"Jul 2019",120189443.945946,90943700.6872413,149435187.204651,75461939.388759,164916948.503133
"Aug 2019",121168290.594595,91733252.5230996,150603328.66609,76151284.6037517,166185296.585437
"Sep 2019",122147137.243243,92524013.9476378,151770260.538849,76842479.7249925,167451794.761494
"Oct 2019",123125983.891892,93315962.0652825,152936005.718501,77535489.736724,168716478.04706
"Nov 2019",124104830.540541,94109074.6937675,154100586.387314,78230280.7140975,169979380.366984
"Dec 2019",125083677.189189,94903330.333404,155264024.044974,78926819.7761763,171240534.602202
"Jan 2020",126062523.837838,95698708.1380318,156426339.537644,79625075.0415095,172499972.634166
